Date,Open,High,Low,Close,Volume
10/10/2024 16:00:00,670,670,655,655,13188000
10/11/2024 16:00:00,655,660,645,650,27840800
10/14/2024 16:00:00,650,655,645,650,20443700
10/15/2024 16:00:00,650,660,650,655,17576700
10/16/2024 16:00:00,655,675,655,675,109064900
10/17/2024 16:00:00,675,675,665,670,26035200
10/18/2024 16:00:00,670,675,665,670,18020900
10/21/2024 16:00:00,670,675,660,660,13968300
10/22/2024 16:00:00,665,665,655,655,8867600
10/23/2024 16:00:00,655,665,655,665,13692000
10/24/2024 16:00:00,665,665,620,625,119166200
10/25/2024 16:00:00,625,625,605,615,94478100
10/28/2024 16:00:00,615,625,610,610,51714800
10/29/2024 16:00:00,615,615,605,605,32549200
10/30/2024 16:00:00,610,615,600,605,50143200
10/31/2024 16:00:00,605,615,605,610,24413800
11/1/2024 16:00:00,610,615,605,605,21083300
11/4/2024 16:00:00,610,615,600,605,31687700
11/5/2024 16:00:00,595,595,585,590,41573300
11/6/2024 16:00:00,590,590,575,575,21320500
11/7/2024 16:00:00,575,580,560,560,39012600
11/8/2024 16:00:00,565,585,565,575,19863900
11/11/2024 16:00:00,575,585,565,575,17661100
11/12/2024 16:00:00,575,610,575,600,33502300
11/13/2024 16:00:00,605,605,590,600,17917300
11/14/2024 16:00:00,605,605,575,580,24740000
11/15/2024 16:00:00,585,590,575,575,12887500
11/18/2024 16:00:00,575,585,575,580,11825400
11/19/2024 16:00:00,580,585,575,580,8490200
11/20/2024 16:00:00,580,590,580,580,6688200
11/21/2024 16:00:00,580,585,570,570,12410900
11/22/2024 16:00:00,570,575,565,570,22897400
11/25/2024 16:00:00,570,590,570,580,18543600
11/26/2024 16:00:00,585,590,580,580,13261400
11/28/2024 16:00:00,580,585,575,580,16470800
11/29/2024 16:00:00,580,590,575,575,11723700
12/2/2024 16:00:00,575,590,570,580,21439600
12/3/2024 16:00:00,585,590,580,580,14839600
12/4/2024 16:00:00,580,590,580,580,9563500
12/5/2024 16:00:00,580,590,580,585,3381100
12/6/2024 16:00:00,580,585,575,580,13704200
12/9/2024 16:00:00,580,585,580,585,7770900
12/10/2024 16:00:00,585,585,575,580,19121400
12/11/2024 16:00:00,585,590,580,585,19801300
12/12/2024 16:00:00,585,590,580,580,10271800
12/13/2024 16:00:00,580,585,580,585,12492400
12/16/2024 16:00:00,585,585,570,575,24305600
12/17/2024 16:00:00,575,585,565,570,21390400
12/18/2024 16:00:00,575,575,560,560,19146600
12/19/2024 16:00:00,560,565,535,540,25862700
12/20/2024 16:00:00,540,570,540,570,8794900
12/23/2024 16:00:00,570,585,560,570,15860500
12/24/2024 16:00:00,570,575,550,555,10217700
12/27/2024 16:00:00,555,575,555,570,6533400
12/30/2024 16:00:00,575,590,570,590,14432600
1/2/2025 16:00:00,590,595,580,585,6955600
1/3/2025 16:00:00,585,590,575,580,4395000
1/6/2025 16:00:00,580,585,575,585,8841400
1/7/2025 16:00:00,585,590,575,585,7953500
1/8/2025 16:00:00,585,595,580,595,10952900
1/9/2025 16:00:00,595,615,590,610,31534600
1/10/2025 16:00:00,610,610,600,605,12935000
1/13/2025 16:00:00,605,610,600,605,17848500
1/14/2025 16:00:00,605,605,585,590,12104800
1/15/2025 16:00:00,590,595,585,590,10730500
1/16/2025 16:00:00,590,600,590,590,6222200
1/17/2025 16:00:00,595,595,590,595,3554300
1/20/2025 16:00:00,590,595,585,585,17803800
1/21/2025 16:00:00,585,590,575,590,9649700
1/22/2025 16:00:00,590,590,580,580,22434500
1/23/2025 16:00:00,585,585,570,570,11776000
1/24/2025 16:00:00,570,575,565,570,10954100
1/30/2025 16:00:00,570,580,570,580,7073600
1/31/2025 16:00:00,580,580,570,575,5020000
2/3/2025 16:00:00,575,585,560,580,15863500
2/4/2025 16:00:00,580,580,570,575,3335000
2/5/2025 16:00:00,580,580,565,565,7891000
2/6/2025 16:00:00,570,575,550,555,13451200
2/7/2025 16:00:00,555,565,550,565,11535400
2/10/2025 16:00:00,565,570,555,555,10500900
2/11/2025 16:00:00,555,560,550,550,7768000
2/12/2025 16:00:00,550,590,550,580,33062600
2/13/2025 16:00:00,590,620,590,615,72312000
2/14/2025 16:00:00,620,620,600,620,30289800
2/17/2025 16:00:00,620,620,605,615,12205000
2/18/2025 16:00:00,615,620,605,610,8875600
2/19/2025 16:00:00,610,615,600,610,9788900
2/20/2025 16:00:00,610,610,595,600,11979800
2/21/2025 16:00:00,600,605,595,600,5662700
2/24/2025 16:00:00,600,605,595,605,6980700
2/25/2025 16:00:00,605,620,595,615,28588600
2/26/2025 16:00:00,615,630,580,600,39368600
2/27/2025 16:00:00,600,600,565,590,21618100
2/28/2025 16:00:00,590,590,550,555,27401400
